Month,Count
2004-01,4
2004-02,4
2004-03,10
2004-04,5
2004-05,3
2004-06,1
2004-07,2
2004-08,3
2004-09,6
2004-10,6
2004-11,9
2004-12,2
2005-01,3
2005-02,8
2005-03,9
2005-04,2
2005-05,8
2005-06,9
2005-07,2
2005-08,8
2005-09,6
2005-10,5
2005-11,6
2005-12,5
2006-01,5
2006-02,5
2006-03,6
2006-04,8
2006-05,4
2006-06,4
2006-07,3
2006-08,5
2006-09,9
2006-10,5
2006-11,4
2006-12,5
2007-01,7
2007-02,6
2007-03,6
2007-04,6
2007-05,5
2007-06,3
2007-07,7
2007-08,5
2007-09,8
2007-10,5
2007-11,6
2007-12,6
2008-01,5
2008-02,5
2008-03,6
2008-04,5
2008-05,6
2008-06,4
2008-07,8
2008-08,3
2008-09,8
2008-10,6
2008-11,4
2008-12,6
2009-01,4
2009-02,5
2009-03,6
2009-04,7
2009-05,6
2009-06,5
2009-07,6
2009-08,7
2009-09,5
2009-10,6
2009-11,6
2009-12,7
2010-01,7
2010-02,9
2010-03,6
2010-04,7
2010-05,7
2010-06,6
2010-07,7
2010-08,6
2010-09,7
2010-10,7
2010-11,6
2010-12,6
2011-01,7
2011-02,6
2011-03,6
2011-04,7
2011-05,7
2011-06,6
2011-07,6
2011-08,6
2011-09,6
2011-10,6
2011-11,7
2011-12,8
2012-01,7
2012-02,7
2012-03,7
2012-04,6
2012-05,9
2012-06,5
2012-07,8
2012-08,6
2012-09,8
2012-10,7
2012-11,6
2012-12,6
2013-01,9
2013-02,7
2013-03,7
2013-04,9
2013-05,7
2013-06,7
2013-07,8
2013-08,7
2013-09,6
2013-10,9
2013-11,8
2013-12,8
2014-01,8
2014-02,10
2014-03,9
2014-04,9
2014-05,7
2014-06,7
2014-07,8
2014-08,9
2014-09,9
2014-10,9
2014-11,8
2014-12,9
2015-01,12
2015-02,11
2015-03,11
2015-04,12
2015-05,10
2015-06,11
2015-07,10
2015-08,10
2015-09,11
2015-10,11
2015-11,10
2015-12,11
2016-01,13
2016-02,10
2016-03,13
2016-04,13
2016-05,12
2016-06,12
2016-07,11
2016-08,12
2016-09,12
2016-10,11
2016-11,10
2016-12,12
2017-01,12
2017-02,13
2017-03,15
2017-04,13
2017-05,14
2017-06,13
2017-07,13
2017-08,13
2017-09,11
2017-10,13
2017-11,13
2017-12,11
2018-01,16
2018-02,17
2018-03,17
2018-04,16
2018-05,16
2018-06,17
2018-07,16
2018-08,17
2018-09,14
2018-10,15
2018-11,15
2018-12,16
2019-01,20
2019-02,20
2019-03,18
2019-04,17
2019-05,22
2019-06,19
2019-07,21
2019-08,18
2019-09,18
2019-10,18
2019-11,19
2019-12,20
2020-01,29
2020-02,24
2020-03,24
2020-04,22
2020-05,29
2020-06,33
2020-07,34
2020-08,40
2020-09,39
2020-10,42
2020-11,39
2020-12,55
2021-01,52
2021-02,54
2021-03,59
2021-04,59
2021-05,72
2021-06,98
2021-07,100
2021-08,82
2021-09,74
2021-10,68
2021-11,82
2021-12,89
2022-01,95
2022-02,85